,SVC,Log Reg,Random Forest
0,0.765625,0.78125,0.796875
1,0.890625,0.875,0.859375
2,0.78125,0.8125,0.734375
3,0.875,0.828125,0.8125
4,0.796875,0.796875,0.8125
5,0.78125,0.828125,0.796875
6,0.75,0.75,0.90625
7,0.890625,0.875,0.84375
8,0.8125,0.84375,0.796875
9,0.875,0.859375,0.8125
