,SVC,Log Reg,Random Forest
0,0.75,0.75,0.625
1,0.625,0.625,0.875
2,0.75,0.75,0.75
3,0.625,0.625,0.375
4,0.75,0.75,0.875
5,0.875,0.875,0.875
6,1.0,1.0,0.875
7,0.875,0.875,0.5
8,0.875,0.875,0.75
9,0.875,0.875,1.0
