"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1","X082_1.mzData","X085_1.mzData","X088_1.mzData","X092_1.mzData","X095_1.mzData","X429_1.mzData","X430_1.mzData","X431_1.mzData","X433_1.mzData","X434_1.mzData","X435_1.mzData","X436_1.mzData","X442_1.mzData","X443_1.mzData","X444_1.mzData","X446_1.mzData","X447_1.mzData","X448_1.mzData","X450_1.mzData","X451_1.mzData","X452_1.mzData","X455_1.mzData","X458_1.mzData","X459_1.mzData","X462_1.mzData","X463_1.mzData","X465_1.mzData","X466_1.mzData","X472_1.mzData","X474_1.mzData","X477_1.mzData","X478_1.mzData","X480_1.mzData","X484_1.mzData","X489_1.mzData","X491_1.mzData","X493_1.mzData","X495_1.mzData","X496_1.mzData","X497_1.mzData","X501_1.mzData","X502_1.mzData","X503_1.mzData","X513_1.mzData","X515_1.mzData","X516_1.mzData","X523_1.mzData","X526_1.mzData","X528_1.mzData","X533_1.mzData","X534_1.mzData","X535_1.mzData","X537_1.mzData","X538_1.mzData","X550_1.mzData","X557_1.mzData","X560_1.mzData","X562_1.mzData","X564_1.mzData","X565_1.mzData","X566_1.mzData","isotopes","adduct","pcgroup"
"1",45,45,45,474.496307373047,474.093994140625,474.9423828125,61,61,1248108.95,1147465.9,1221877.5,1258958.3,1243487.6,1346427.1,1276103.55,1416227.05,1273350.5,1357840.6,1269016.55,1329576.7,1416264.15,1549019.7,1260497.8,1362231.05,1480891.75,1337119.55,1365054.95,1376394.65,1621565.1,1506251.05,1377632.1,1504943.5,1515697.45,1221749.65,1388399.45,1428574.8,1340585.4,1904931.75,1436238.6,1430505.85,1271989.7,1476205.45,1464410.2,1405047.55,1487562.1,1348467.6,1381431.5,1371343.15,1285497.6,1298656.95,1312597.3,1316514.05,1399723.7,1347187.8,1338404.8,1353457.4,1364039.05,1494049.35,1339013.15,1384023.9,1283090.05,1383709.4,1400355.05,1202349.4,1338096.65,1237067.4,1044399.8,1282661.2,1210700.15,"","","7"
"2",45,45,45,799.744018554688,799.595825195312,799.893981933594,60,60,109641.9,101123.8,140956.6,129243.85,161987.8,271317.700000001,199588.150000001,78463.8,253392.399999998,199087.9,154176.25,53302.0999999994,78475.4500000001,156997.55,149479.7,167477.5,97104.3,191987.899999998,73719.2999999996,90179.6500000003,198470.831369688,148609.3,96956.45,131584.15,174014.35,253095.349999999,384209.599999999,51005.7000000002,681473.350000001,94210.6999999997,178020.65,540632.45,124044.5,215517.199999999,129990.150000001,99470.2,184686.15,467416.100000001,207787.5,105790.499999999,58890.05,122935.700000001,306070.150000001,155540.4,188086.7,103258.399999999,71215.2499999997,252810.699999999,249383.749999999,266918.05,145797.8,170324.450000001,217783.750000001,135869.849999999,108733.000000001,91608.35,110675.299999999,119212.949999999,168311.150000002,83771.9500000002,289701.85,"[1][M]+","","6"
"3",45,45,45,354.119567871094,353.705688476562,355.031951904297,61,61,1472205.6,2177737.79999999,1976443.6,1201612.65,2067636.3,2906469.35,928709.150000001,682892.199999999,2223789.3,729508.15,2598286,1078561.65,1885742.6,576651.299999999,2808259.35,2083229.45,2015560.2,1911591.6,1501310.2,1877430.15,686755.05,1907469.65,2417557.25,816633.950000001,707049.549999999,2517787.75,1720198.1,1816623.3,1723079.6,1525584.5,701042.450000001,689616.650000001,826699.000000001,2107712.9,690268.399999999,1875271.7,1133153.25,2078110.45,1688571.1,1177531.35,1134202.9,716806.149999999,2840118.6,879045.099999998,1053471.05,2891616.25,1388521.25,2314721,3031628,2687572.5,804583.399999999,670334.049999999,763646.599999999,847236.399999998,686215.900000001,2834716.85,617248.999999999,963563.549999998,2968951.75000001,1232454.75,2427049.2,"[2][M]+","","5"
"4",45,45,45,426.695251464844,426.542877197266,426.944000244141,57,57,236858.5,377346.100000002,276495.450000001,485753.400000001,240216.8,185900.95,186789.95,171112.15,393366.15,580713.25,268380.4,339387.2,210596.8,280983.700000001,192335.599999999,241886.099999999,238390.950000001,264528.9,254772.35,242738.05,325850.950000001,252401.4,222760.600000001,253207.000000001,235072.150000001,118806.670050761,189886.15,402354.7,209257.350000001,304825.35,231887.999999999,158115.3,263915.300000001,173895.7,204424.799999999,156758.15,216788.05,163744.199999999,261544.949999999,199161.7,205050.15,351032.65,152129.15,224776.349999999,233272.5,371228.1,196931.3,141557.15,184758.25,240116.5,221683.95,184563.099999999,261937.519329897,260277.700000001,285529.049999999,217073.65,190169.05,734481.3,305208.75,281675.4,248046.5,"","","17"
"5",45,45,45,672.993988037109,671.744018554688,674.14404296875,60,60,707268.700000003,108669.05,195515.8,757972.35,375567.099999999,705696.499999998,1152058.9,955286.199999998,1463373.55,885017.299999997,1188511.3,1028570.1,1088528.95,677226.150000002,712882.750000002,1034358.4,811631.399999998,1734220.59999999,736715.700000001,410839.75,841729.950000001,589581.349999998,1327418.2,633843.949999998,725323.899999998,1267844.95,146307.599999999,1212412.95,1525356.6,810105.600000005,900615.899999999,955549.35,917803.300000001,494738.649999998,559040.45,1085001.95,666484.750000002,1538291.49999999,1045002.90000001,1106514.65,972769.949999999,897792.500000004,266701.75,662677.799999996,1525631,718185.699999998,1287388.95,953242.7,345016.9,589226.749999999,1110517.05,850836.75,1091359.85,665838.449999996,1136770.45,1512770.71708327,683714.5,1090440.15,664978.050000003,1220394.8,1090105.4,"","","1"
"6",45,45,45,317.995498657227,314.777984619141,318.658264160156,60,60,227727.6,239313.399999999,230805.2,164846.6,221326.15,272634.65,115544.45,141732,135739.65,127028.8,190643.05,122445.6,141498.75,166961.05,217722.55,129688.8,152327.7,118006.900000001,163366,169815.6,232518.730783726,160688.55,243657.35,127947.4,172235.55,220636.4,110199.75,189693.1,213760.45,144184.15,124719.75,141852.95,90514.3500000002,172745.75,141116.3,195890.3,151211.95,164687.35,147393.4,147141.4,141279.85,130059.5,279755.650000001,152233.85,96763.2999999996,215977.25,108170.95,192074.9,215869.2,296820.35,156470.85,138371.75,222390.05,177250.85,156523.4,154845.15,175284.85,175197.45,229771.7,155689.25,244326.05,"","","54"
"7",45,45,45,692.4462890625,692.143981933594,692.943969726562,53,53,372197.2,346875.899999997,390529.45,350683.950000002,321149.2,531443.700000001,379661.490337719,390018.4,338710.6,395804.8,491205.85,359058.899999998,382843.849999999,420645.800000001,438723.999999999,355849.7,429096.75,492021.40629595,392170.100000001,339659.25,499534.904738917,390251.650000001,360626.249999998,372380.9,434340.000000001,543197.95,346857.199999999,323338.200000002,480699.049999998,348258.635772243,358516.699999999,465227.299999999,360331.150000001,337280.750000002,380539.349999998,369247.949999998,387829.650000001,370830.799999996,352524.399999998,321740.899999999,295344.45,340608.300000002,506873.950000003,371974.299999999,328060.600000001,360505.749999998,342355.320235281,411096.699999999,403500.9,538115.849999998,340272.763925726,350069.150000001,344896.799999999,351560.8,404776.888926651,472354.738759821,374312.050000001,314472.549999999,374490.700000002,388798.649999999,414186.650000001,"","","4"
"8",45,45,45,513.494018554688,513.0751953125,514.081481933594,53,53,759803.049999995,1423700.2,1410723.65,1797957.3,1462952.75,1300944.25,1656930.65,1744025.7,1575489.2,1730308.35,1588502.95,1530594.31883346,1323493.98844609,758006.75,1473071.8,2218823.65,2037962.95,1549656.4,1799535.1,1753828.55,1957328.35,1650862.35,1722654.65,1549586.5,1819484.3,4650360.2323331,3275503.61726352,1748835.6,4713391.90306513,1590958.07673359,1270018.1,3212799.21360629,1177683.09999999,1542830.15,1509524.44999999,1979978.89999999,1716999,1378808.99999999,2038167.95,1443494.45,1307176.55,637437.050000006,1227029.75,1623884.45,1554785.05,1420374,1510738.25,2477119.80904851,2023968.05,1564178.2,705008.600000004,1324260.5,1383184.25,1463594.9,1570284.55,1706812.25,1161497,1417262.4,928646.200000005,1447410.85,1225032.3,"","","166"
"9",45,45,45,1083.14404296875,1082.64392089844,1083.54235839844,49,49,7087.49999999995,23766.4500000001,27711.1499999997,12095.0500000001,30386.5499999998,9803.24999999985,8766.00000000015,8217.34999999992,9850.05000000017,9898.75000000002,10838.4,6490.54999999981,3770.79436822707,10270.1,3898.72211788862,8947.59999999978,4959.49549309939,14475.2500000002,7523.84999999994,5349.85000000007,52837.5538643079,8544.35000000031,4822.28446960449,7606.65000000003,5182.3998445638,6853.84159910217,5500.80685111804,13692.55,5605.85497712436,6078.30000000009,7199.20000000006,6440.29999999995,7617.74999999982,7459.95000000013,12089.8,7723.39999999994,20159.0499999995,14429.3000000005,33033.0499999996,8533.04999999999,11237.1000000001,4944.92775511897,3086.22088623047,14217.7000000002,9598.20000000017,11261.5500000001,10423.3999999998,15028.0000000001,6151.90000000002,10006.8500000001,14338.25,7823.4499999998,10604.9,14160.8500000002,10044.0000000002,25485.3999999997,4076.41172790527,9035.20000000015,11588.9,6947.55,23675.7,"","","73"
"10",45,45,45,700.029205322266,699.755187988281,700.228271484375,48,48,189445,53502.3982587131,59237.05,51986.8999999993,111099.550000001,119393.699999999,86106.8999999993,54841.0891540527,186903.700000001,230298.586239797,80472.4999999986,139900.7,107637.35,194768.250000001,53741.1578873854,180680.500000001,95837.25,176295.600000001,170454.350000001,123828.949999999,194336.267402942,151304.399999999,169325.000000001,107659.799999999,211478.787538061,389411.550000002,80144.2000000007,92505.4000000004,158521.950000002,308509.75,95957.9500000004,77514.4755275433,72801.8499999994,198801.884902954,82499.7522164481,64584.9500000006,124425.349999999,112034.35,101265.75,93408.6500000009,139672.4,189210.494912074,147901.599999999,108855.200000001,119945.65,255951.356337925,167305.500000001,111421.399999999,102774.850000002,122906.499999999,134079.200000001,136449.149999999,198815.250000002,155801.4,146314.5,419327.365425803,197539.099999998,180781.35,215023.421813093,149860.500000002,150725.349999999,"","","3"
"11",45,45,45,489.393951416016,485.343994140625,490.244018554688,53,53,396050.849999999,471174.900000001,552753.200000001,261085.25,457668.499999999,722120.979532164,357218.75,454109.35,499405.849999998,512803.15,563372.150000001,398996.099999999,380373.550000001,310535.599999999,665376.15,287192.649999999,433335.749999999,547006.050000001,323469.650000001,402583.95,430230.248502994,381790.65,317570.449999999,370752.5,397158.7,946856.896449704,356963.349999998,152470.700000001,702891.949999997,177341.937869822,229052.769230769,677889.350000001,295514.15,225417.2,657747.650000001,413098.25,266648.4,400177.4,414554.45,183687.7,449577.55,216487.499999998,881105.550000002,294028.300000001,206146.450000001,254504.760479042,231222.850000001,432758.7,331280.100000002,538464.5,275206.200000002,368633.699999999,453358.6,425913.3,206513.149999999,295137.85,348770.599999999,532030.900000001,314271,475143.950000001,380719.9,"","","15"
