"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Person01_plasma_youth_NEG"	"Person02_plasma_youth_NEG"	"Person03_plasma_youth_NEG"	"Person04_plasma_youth_NEG"	"Person05_plasma_elder_NEG"	"Person06_plasma_elder_NEG"	"Person07_plasma_elder_NEG"	"Person08_plasma_elder_NEG"	"Person09_plasma_elder_NEG"	"Person10_plasma_elder_NEG"	"Person11_plasma_youth_NEG"	"Person12_plasma_youth_NEG"	"Person13_plasma_youth_NEG"	"Person14_plasma_youth_NEG"	"Person15_plasma_youth_NEG"	"Person16_plasma_youth_NEG"	"Person17_plasma_youth_NEG"	"Person18_plasma_elder_NEG"	"Person19_plasma_elder_NEG"	"Person20_plasma_youth_NEG"	"Person21_plasma_youth_NEG"	"Person22_plasma_elder_NEG"	"Person23_plasma_elder_NEG"	"Person24_plasma_elder_NEG"	"Person25_plasma_elder_NEG"	"Person26_plasma_elder_NEG"	"Person27_plasma_youth_NEG"	"Person28_plasma_youth_NEG"	"Person29_plasma_elder_NEG"	"Person30_plasma_elder_NEG"
"CHEBI:29995"	"C4H5NO4-2"	"NC(CC([O-])=O)C([O-])=O"	"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-2"	"Aspartate"	"132.03071"	""	"[M-H]-"	"negative"	"12.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"1282712.663"	"1751790.97"	"2831070.162"	"2403548.812"	"1517409.145"	"1315841.853"	"779739.6792"	"691037.7181"	"793331.7866"	"461671.1751"	"1381480.015"	"2194363.237"	"766944.8656"	"558238.4774"	"1059880.068"	"399685.2621"	"2013422.714"	"816769.8534"	"2823013.367"	"1887130.102"	"255587.8516"	"1008704.504"	"3452517.712"	"1143070.072"	"231004.4918"	"193273.3521"	"2494470.717"	"1582111.649"	"1547764.52"	"604105.5146"
"CHEBI:29987"	"C5H7NO4-2"	"C(CC(=O)[O-])C(C(=O)[O-])N"	"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-2/t3-/m0/s1"	"Glutamate"	"146.04629"	""	"[M-H]-"	"negative"	"11.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"14400000"	"25700000"	"30200000"	"20300000"	"29700000"	"34900000"	"17300000"	"13600000"	"25900000"	"9762101.416"	"27900000"	"22000000"	"14300000"	"13100000"	"17000000"	"18100000"	"15300000"	"16100000"	"27700000"	"10900000"	"12500000"	"14000000"	"27400000"	"29800000"	"13000000"	"6387874.518"	"19700000"	"23700000"	"18700000"	"12900000"
"CHEBI:28300"	"C5H10N2O3"	"C(CC(=O)N)C(C(=O)O)N"	"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)"	"Glutamine"	"145.06242"	""	"[M-H]-"	"negative"	"12.2"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"83900000"	"104000000"	"108000000"	"123000000"	"82900000"	"74400000"	"91100000"	"70400000"	"163000000"	"40000000"	"121000000"	"107000000"	"72000000"	"96100000"	"77500000"	"83900000"	"97300000"	"97100000"	"152000000"	"118000000"	"85300000"	"75200000"	"108000000"	"101000000"	"85400000"	"54100000"	"68000000"	"90000000"	"99600000"	"116000000"
"CHEBI:24898"	"C6H13NO2"	""	""	"Isoleucine"	"130.08786"	""	"[M-H]-"	"negative"	"8.5"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"24800000"	"36600000"	"32800000"	"55000000"	"49100000"	"34300000"	"60900000"	"53000000"	"38800000"	"11000000"	"64100000"	"49200000"	"36900000"	"50900000"	"57000000"	"41700000"	"19600000"	"21800000"	"24500000"	"26600000"	"42600000"	"22800000"	"24900000"	"31600000"	"29000000"	"35500000"	"26900000"	"50300000"	"41700000"	"49600000"
"CHEBI:25017"	"C6H13NO2"	"CC(C)CC(C(=O)O)N"	"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)"	"Leucine"	"130.08764"	""	"[M-H]-"	"negative"	"8.1"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"45700000"	"47900000"	"62300000"	"60600000"	"50100000"	"31600000"	"70200000"	"44500000"	"50100000"	"25400000"	"87300000"	"53700000"	"35500000"	"44700000"	"68200000"	"43200000"	"35400000"	"32900000"	"39800000"	"41400000"	"50700000"	"28000000"	"38200000"	"38100000"	"34400000"	"29100000"	"27000000"	"56400000"	"44900000"	"41600000"
"CHEBI:25094"	"C6H14N2O2"	"CC(CCCN)(C(=O)O)N"	"InChI=1S/C6H14N2O2/c1-6(8,5(9)10)3-2-4-7/h2-4,7-8H2,1H3,(H,9,10)"	"Lysine"	"145.09876"	""	"[M-H]-"	"negative"	"21.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"16100000"	"24700000"	"20300000"	"32900000"	"29700000"	"28200000"	"50400000"	"32900000"	"20700000"	"5320094.484"	"27900000"	"18200000"	"34400000"	"35500000"	"40500000"	"47700000"	"9763943.389"	"20100000"	"25700000"	"16400000"	"17800000"	"21600000"	"32800000"	"26300000"	"34600000"	"25000000"	"23600000"	"41700000"	"40100000"	"48400000"
"CHEBI:16811"	"C5H11NO2S"	"CSCCC(C(=O)O)N"	"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)"	"Methionine"	"148.04421"	""	"[M-H]-"	"negative"	"8.6"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"7883819.988"	"8790636.328"	"14400000"	"14200000"	"13300000"	"8895494.569"	"20000000"	"10900000"	"13400000"	"3234264.604"	"23300000"	"13800000"	"7117443.988"	"12400000"	"12400000"	"9619031.041"	"6707980.65"	"6757896.928"	"13800000"	"9081446.958"	"8202565.436"	"9375300.903"	"11200000"	"8200925.966"	"7519697.413"	"9412048.215"	"6874362.412"	"13000000"	"16500000"	"14900000"
"CHEBI:26271"	"C5H9NO2"	"C1CC(NC1)C(=O)O"	"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)"	"Proline"	"114.05675"	""	"[M-H]-"	"negative"	"10.2"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"1624126.165"	"1878406.175"	"2904622.754"	"2036872.024"	"2390807.126"	"1864004.202"	"3439284.662"	"1363092.772"	"1959132.277"	"73036.67521"	"4262517.511"	"2899497.525"	"2935111.047"	"2145685.995"	"2075382.01"	"2063506.582"	"1737038.97"	"803570.3253"	"2346558.5"	"1182475.664"	"1344227.082"	"3410728.385"	"1549330.922"	"1738738.335"	"950847.9804"	"2462717.622"	"875914.7774"	"3490650.966"	"2320321.838"	"1619793.708"
"CHEBI:17822"	"C3H7NO3"	"C(C(C(=O)O)N)O"	"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)"	"Serine"	"104.036"	""	"[M-H]-"	"negative"	"12.7"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"1299631.561"	"835535.1102"	"1337133.965"	"1588200.353"	"1134176.112"	"752117.1977"	"1230962.264"	"1146648.831"	"893850.476"	"698412.5226"	"1684281.253"	"1846597.223"	"982361.1995"	"1562957.769"	"964822.6772"	"1115994.589"	"1076451.121"	"1784913.899"	"966037.8672"	"1814953.22"	"2019188.529"	"1152793.875"	"1135600.529"	"807281.6945"	"567290.4549"	"715901.6951"	"734358.6684"	"806698.107"	"509297.3923"	"552641.7825"
"CHEBI:26986"	"C4H9NO3"	""	""	"Threonine"	"118.05159"	""	"[M-H]-"	"negative"	"11.7"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"603535.9689"	"787511.4023"	"660685.8123"	"1987628.981"	"496879.817"	"569455.7356"	"1636703.786"	"470125.374"	"813025.2384"	"249937.2405"	"2500744.562"	"2994290.865"	"470738.1237"	"981383.2707"	"1153294.972"	"545466.4451"	"574576.862"	"1045424.814"	"1131642.139"	"633919.4713"	"455026.9097"	"1518048.907"	"983973.3474"	"563336.0352"	"1066941.04"	"719976.0799"	"576226.8719"	"907903.9224"	"880443.7551"	"677262.4707"
