"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1","Volunteer1_plasma_0h_POS.mzML","Volunteer1_plasma_1h_POS.mzML","Volunteer1_plasma_24h_POS.mzML","Volunteer1_plasma_4h_POS.mzML","Volunteer2_plasma_0h_POS.mzML","Volunteer2_plasma_1h_POS.mzML","Volunteer2_plasma_24h_POS.mzML","Volunteer2_plasma_4h_POS.mzML","Volunteer3_plasma_0h_POS.mzML","Volunteer3_plasma_1h_POS.mzML","Volunteer3_plasma_24h_POS.mzML","Volunteer3_plasma_4h_POS.mzML","Volunteer4_plasma_0h_POS.mzML","Volunteer4_plasma_1h_POS.mzML","Volunteer4_plasma_24h_POS.mzML","Volunteer4_plasma_4h_POS.mzML","isotopes","adduct","pcgroup"
"1",100.075220774114,100.075220774114,100.075220774114,267.025146484375,267.025146484375,267.025146484375,1,1,NA,NA,NA,NA,NA,1998796.83282137,871321.797148841,2218804.62962559,191644.197348853,NA,NA,60256.8362046991,3260607.42323081,3694321.99535302,1759384.73675251,1726213.54480982,"","","860"
"2",108.044018387329,108.043997148753,108.044700431947,237.58535222168,235.635498046875,238.70849609375,4,4,NA,NA,NA,NA,4802426.60583895,5420318.8957895,5930676.57588319,5527647.1951944,NA,NA,NA,NA,NA,NA,NA,NA,"","","452"
"3",109.028042281616,109.02801093151,109.028073631722,733.214630126953,731.940246582031,734.489013671875,2,2,26064.9118459608,63032.3175226131,52052.712540022,42747.9095594415,19984.4561519367,19623.7430246919,42444.4200690303,50499.4426353936,47439.7914704606,77662.544154419,58078.5728128233,27197.609671878,52861.4657455094,33531.0729238093,25128.2527171203,20809.3325066098,"","[M+H]+ 108.021","10"
"4",109.075600735149,109.075465445079,109.075651251477,620.671934619151,616.326538085938,623.72509765625,16,16,557735.634334832,511270.205442628,335081.298522851,448220.220080933,437180.540186251,314742.347752471,350328.120804952,350991.885933021,282110.630208793,325679.330075531,406383.638773212,341815.611164645,255807.808604408,311418.230634772,382295.982338453,251480.871481524,"","[M+H]+ 108.068","22"
"5",109.075574197202,109.075574197202,109.075574197202,903.257080078125,903.257080078125,903.257080078125,1,1,NA,3336.08006929457,8828.78537032902,22921.5394140625,2826.44341817796,NA,10346.6270694643,3948.65027251542,NA,14011.8005268425,6473.45742368102,5249.79670045376,6827.28352555633,13319.981026724,NA,NA,"","","3335"
"6",109.98740254246,109.984402954622,109.990664949577,184.641792297363,181.543792724609,196.461761474609,18,16,1161412.51204651,1090174.41654248,1046771.90328719,962301.558909973,1178822.03202795,1607863.77039969,1175740.18325189,1188286.22606141,1174146.36639773,1046588.67356034,1360187.30379907,1164872.14154704,1306382.28139049,882813.888942977,1014527.12392365,1090775.88308973,"","","2"
"7",109.987794700724,109.985501279254,109.990511966351,220.459617614746,212.196044921875,228.544357299805,10,9,721491.001076117,NA,918003.390735352,0,1775570.99955916,2861118.47190627,1869136.83838368,2178155.66180489,1094902.23152383,1009202.4189671,267222.340756559,0,1278474.1640012,0,1489851.94242092,0,"","","9"
"8",109.988475993337,109.985595789301,109.992565815141,306.394897460938,300.19489999998,317.510406494141,9,8,8767.35005609393,143823.691879888,233954.216006264,239338.968850569,125626.91949242,213661.352499131,172739.385046038,256993.149865716,124970.12666337,0,0,235153.364575369,42051.5857897103,150731.376758108,NA,237580.249164829,"","","328"
"9",109.989314325595,109.987903433626,109.989924014334,274.508987426758,271.4052734375,280.056243896484,6,6,258757.96949764,NA,381245.990923548,0,0,307361.483007224,190983.178285077,NA,370145.162008308,438318.385081787,198601.010088031,NA,0,0,0,0,"","","861"
"10",109.989082239802,109.987057150635,109.991252580252,382.737182617188,349.891387939453,387.915435791016,6,6,80551.3498061826,62185.7643600952,NA,92271.6494688119,14749.6125405361,0,154325.184782476,78575.6628993531,30776.4127034798,15071.6317584962,98766.1302105679,117835.841403336,82168.4836113463,5334.02469056938,0,NA,"","","1537"
"11",109.994376993502,109.990695795403,109.997232571312,684.703247070312,681.941040039062,685.447998046875,11,11,377459.578999721,452678.691393265,372302.058970208,404512.674381271,0,605049.911970515,635047.468384385,6267.15071830966,381305.282757476,410409.565588523,404300.146585454,0,0,0,570326.838356875,366669.927017649,"","","1964"
"12",109.989666503267,109.988511644159,109.993120755835,449.570114135742,427.239898681641,455.840270996094,8,8,0,243128.798959351,236662.154878396,42035.7997280206,0,275382.133043422,NA,130395.492741739,148679.7071873,281541.482665593,175413.378313629,261799.598744425,238501.14582537,5210.38141724989,NA,NA,"","","986"
"13",109.993419374635,109.990921900771,109.994999930882,758.999298095703,756.3515625,761.985595703125,6,6,146107.992023474,279949.061044182,228943.228683638,0,268264.278007876,344839.788731163,0,0,261513.780434478,0,248226.028017517,210464.003701394,96832.043551092,235610.717875569,NA,NA,"","","1464"
"14",109.992201118451,109.989074973768,109.995855321481,541.693878173828,512.166137695312,544.323547363281,6,6,124723.762386151,313031.094586546,419669.594048529,0,0,291221.728380142,0,0,158263.82342344,299786.591342053,363195.184852048,136269.746459232,141739.472192045,0,NA,400912.188082299,"","","12"
"15",109.993781264504,109.993563968891,109.993998560117,825.035614013672,824.706115722656,825.365112304688,2,2,115464.605370133,0,0,86898.8356604459,78099.2848274772,133373.288016537,0,25193.6089206509,128374.791673435,0,134944.749930812,0,126012.743753307,111474.019619264,NA,NA,"","","1848"
"16",109.997180805197,109.997180805197,109.997180805197,912.205993652344,912.205993652344,912.205993652344,1,1,NA,NA,58951.5150218614,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,44869.9792887611,"","","3050"
"17",109.995686133119,109.995686133119,109.995686133119,883.05908203125,883.05908203125,883.05908203125,1,1,0,0,77004.9809286763,0,0,81719.0607207209,0,0,0,37367.1922464226,84037.080825733,0,0,0,0,0,"","","2014"
"18",109.99413793689,109.99413793689,109.99413793689,626.049438476562,626.049438476562,626.049438476562,1,1,0,NA,0,NA,NA,199709.698923438,35556.1415831912,NA,0,0,140047.733469168,NA,0,NA,0,0,"","","1785"
"19",110.059623535947,110.059513506985,110.059769505559,317.335891723633,314.445,320.098846435547,10,10,174718.034388025,202085.057276924,5333.60367837176,163020.411103633,18243.1680299267,25755.1883430011,170081.405836269,119436.230507812,41330.5024661105,31776.9271608042,255026.306474575,109974.556588603,33542.9425157597,116129.878674911,99382.8672213979,83742.5210354899,"","","3"
"20",110.059688811452,110.059514846479,110.059739079791,571.136535644531,567.727355957031,575.268371582031,10,10,232656.100024592,233215.68423019,520493.220631576,111436.470798332,346770.44691657,275584.177381543,301993.251340103,138757.712637118,181949.36625356,113382.214045358,NA,24872.082472586,6716.03573573132,8387.09672434794,17488.6382069953,7794.77950090336,"","","33"
"21",110.068928059115,110.067710508411,110.071220467332,741.022338867188,738.611694335938,742.85530000002,29,16,9702790.46165627,9401427.65751749,144070.659994874,220775.699293669,108151.040848532,11087642.9550095,120521.227450818,193519.495316462,161373.005653114,164134.741622608,171779.509087395,168862.26935291,141369.427656141,62635.5145451292,176853.132027073,88308.3096680629,"","","2350"
"22",110.070856969027,110.070775456132,110.071022509846,1367.24890136719,1364.13490000002,1367.35815429688,13,13,472984.970206932,460261.438121407,356553.11706598,496653.524510981,330163.782853441,418603.143103058,581338.367883321,471327.077372079,422496.167553105,460817.941612001,364291.42823497,323188.222664816,297836.040045918,365067.641863724,45815.2152745876,240773.592434693,"","[M+H]+ 109.064","63"
"23",110.07085738992,110.070823409645,110.071064682765,588.692810058594,585.563720703125,591.440002441406,8,8,86463.9683203848,92700.8047030635,69460.3542291163,81424.39526264,24799.1922157723,35005.5836420444,148228.662003851,82465.9069412842,24417.4403638455,112326.962109375,105605.418810938,55092.1562753781,49835.8010168234,75796.9173637033,104272.138099509,47310.7501122662,"","","24"
"24",110.070891943412,110.070856969089,110.071016209623,437.916320800781,430.484985351562,442.477416992188,4,4,146822.703868652,142454.370902876,135435.904916769,180314.229754753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","2373"
"25",110.071146892899,110.069783561141,110.071916381439,805.622955322266,800.942932128906,807.605712890625,16,14,3664343.22081815,3488546.87717099,2861661.25897008,3719599.16967321,3297768.89613614,3327104.830515,3669755.65211648,3988932.60271725,3144859.02619646,3375965.16591981,3074430.90224227,2916872.63727876,3650113.86263813,3941258.15202413,4233864.78269273,3170177.18807811,"[1][M]+","","2073"
"26",110.071470420955,110.070528635771,110.071959913418,892.815673828125,889.127563476562,902.776245117188,8,7,NA,697784.738453002,NA,NA,NA,0,1838316.00370845,1384722.02488001,735692.541840474,0,1275641.21976929,1153684.11356562,1010048.7976713,0,0,NA,"","","2015"
"27",110.070856969108,110.070462069985,110.07199690816,999.5673828125,993.442138671875,1001.9949,5,5,545334.180590962,498772.852006399,739448.042871093,577289.363815783,472677.274697632,501411.212808362,953213.03714379,890373.610669349,486879.268543718,546478.806452605,814059.598723386,624708.328814021,554578.732604397,468151.004081335,306779.664480869,263528.305114853,"","","3151"
"28",110.072427656352,110.071270351617,110.073586225233,739.931579589844,738.611694335938,743.161865234375,22,15,120737.168204627,115107.98016416,124000.287120119,202197.124391135,11212327.4859151,173438.512378948,11711308.2603291,184149.770626283,158009.626688139,161978.257260059,172000.100637315,69778.1398384758,160363.470505268,172251.94050584,10874921.5837159,10362428.2354533,"","","2351"
"29",111.007198606834,111.007198606834,111.007198606834,962.24072265625,962.24072265625,962.24072265625,1,1,NA,5102.80173136666,3718.1628319189,0,3901.48983465508,NA,5401.98280046135,6859.55818667114,2643.64138808325,NA,NA,0,5064.80651950836,NA,27108.0413095821,9009.48053451329,"","","2924"
"30",111.054853633504,111.054766101159,111.054986040528,585.987670898438,579.491271972656,590.064819335938,16,16,658884.986318417,546906.666413635,491705.536374145,624834.695512342,1042886.28825544,1080364.77818439,1532919.196591,1149286.78996822,683378.327286914,748810.005483787,911033.751298637,844385.491707312,274623.485779713,310255.952706935,368496.495404909,228526.390584284,"","","24"
