"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1","Victoria_University.Subject.01.bloodplasma.1.mzData","Victoria_University.Subject.01.bloodplasma.2.mzData","Victoria_University.Subject.01.bloodplasma.3.mzData","Victoria_University.Subject.01.bloodplasma.4.mzData","Victoria_University.Subject.01.bloodplasma.5.mzData","Victoria_University.Subject.01.bloodplasma.6.mzData","Victoria_University.Subject.01.bloodplasma.7.mzData","Victoria_University.Subject.01.bloodplasma.8.mzData","Victoria_University.Subject.02.bloodplasma.1.mzData","Victoria_University.Subject.02.bloodplasma.2.mzData","Victoria_University.Subject.02.bloodplasma.3.mzData","Victoria_University.Subject.02.bloodplasma.4.mzData","Victoria_University.Subject.02.bloodplasma.5.mzData","Victoria_University.Subject.02.bloodplasma.6.mzData","Victoria_University.Subject.02.bloodplasma.7.mzData","Victoria_University.Subject.02.bloodplasma.8.mzData","Victoria_University.Subject.03.bloodplasma.1.mzData","Victoria_University.Subject.03.bloodplasma.3.mzData","Victoria_University.Subject.03.bloodplasma.4.mzData","Victoria_University.Subject.03.bloodplasma.5.mzData","Victoria_University.Subject.03.bloodplasma.7.mzData","Victoria_University.Subject.03.bloodplasma.8.mzData","Victoria_University.Subject.04.bloodplasma.1.mzData","Victoria_University.Subject.04.bloodplasma.2.mzData","Victoria_University.Subject.04.bloodplasma.3.mzData","Victoria_University.Subject.04.bloodplasma.4.mzData","Victoria_University.Subject.04.bloodplasma.5.mzData","Victoria_University.Subject.04.bloodplasma.6.mzData","Victoria_University.Subject.04.bloodplasma.7.mzData","Victoria_University.Subject.04.bloodplasma.8.mzData","Victoria_University.Subject.05.bloodplasma.1.mzData","Victoria_University.Subject.05.bloodplasma.2.mzData","Victoria_University.Subject.05.bloodplasma.3.mzData","Victoria_University.Subject.05.bloodplasma.4.mzData","Victoria_University.Subject.05.bloodplasma.5.mzData","Victoria_University.Subject.05.bloodplasma.6.mzData","Victoria_University.Subject.05.bloodplasma.7.mzData","Victoria_University.Subject.05.bloodplasma.8.mzData","Victoria_University.Subject.06.bloodplasma.1.mzData","Victoria_University.Subject.06.bloodplasma.2.mzData","Victoria_University.Subject.06.bloodplasma.3.mzData","Victoria_University.Subject.06.bloodplasma.4.mzData","Victoria_University.Subject.06.bloodplasma.5.mzData","Victoria_University.Subject.06.bloodplasma.6.mzData","Victoria_University.Subject.06.bloodplasma.7.mzData","Victoria_University.Subject.06.bloodplasma.8.mzData","Victoria_University.Subject.07.bloodplasma.1.mzData","Victoria_University.Subject.07.bloodplasma.2.mzData","Victoria_University.Subject.07.bloodplasma.3.mzData","Victoria_University.Subject.07.bloodplasma.4.mzData","Victoria_University.Subject.07.bloodplasma.5.mzData","Victoria_University.Subject.07.bloodplasma.6.mzData","Victoria_University.Subject.07.bloodplasma.7.mzData","Victoria_University.Subject.07.bloodplasma.8.mzData","isotopes","adduct","pcgroup"
"1",73,73,73,1336.970703125,1336.37976074219,1337.38195800781,7,7,1189040.78813598,1200928.16367625,1126142.42229322,1033287.29191072,1055226.37516791,1314959.70839604,1191767.83268974,567132.61894641,1148969.1538297,1133841.26187805,1138117.6120571,1044117.60581484,1101727.39338833,1239996.46407176,868827.832128496,1067206.60903609,1144361.83129936,950814.216184147,1064921.99114405,993646.57714228,745909.676701864,924283.582264293,1155861.46279148,1130372.39223004,1197851.28426847,1028808.70710825,1096944.18075,1197698.57836888,913271.022405058,976468.967471405,1154008.06970454,1151014.35604198,1055496.04816841,1033223.13861044,434736.510569192,324570.838364545,1264785.95467801,1053287.7168911,1125016.82745176,1115851.5225715,1060290.17655054,1038145.93301251,1114090.70964451,1361321.03076873,1182324.84636647,1050017.05029722,1213726.65496853,1226067.38378538,917844.966648647,1068496.67906605,954199.258446839,1279755.19212881,1120658.98912012,1023483.67798273,"","","2"
"2",99,99,99,617.508453369141,614.488586425781,621.164367675781,26,26,952988.35986076,959594.529017046,943465.683168224,925059.536637395,840313.015125356,771102.568500013,803466.328176935,23940.3791771007,677988.397906882,654857.801445485,605363.924369638,668218.282627564,694836.181451613,706813.006894512,632071.825371092,621957.79076907,839779.756671686,872557.689162162,819987.120551726,876206.980501568,841817.161694199,916665.095426319,898190.870347462,979720.910522523,940018.95028229,891256.608870968,855768.188682433,876377.397116596,807105.38272573,858269.945065173,909321.930027355,929901.435144531,908141.363778877,919802.794354839,9378.20231441814,10337.8948983417,752850.494533156,783098.676262423,764918.233651466,840922.688732876,737776.358809522,764745.908884984,1075444.62792491,995266.416824612,705903.653020222,736276.48115611,831328.454610824,972974.952635542,899276.581513352,904535.664482759,675648.946283784,871290.720761109,756755.422826497,858474.189245194,"","","1"
"3",157,157,157,613.612182617188,613.2919921875,615.358276367188,5,5,417481.532803819,401660.26815399,387828.824980999,402412.445407006,390593.77765491,364260.435560565,396356.081523914,NA,312260.251861538,296543.237588996,284511.581417111,298901.772737022,359600.323728052,297699.6984375,219736.479980469,265160.613862214,401847.47939884,397015.229906892,391099.631977772,393818.639257813,309893.716710171,383882.473904855,412116.604589844,399835.118278067,403934.737536676,398394.033090268,388438.058984375,395823.632336013,355901.003343714,376783.108229134,416378.222410963,408930.918648472,392334.056547942,400967.704525479,494.419872050383,700.036776224772,348425.150125,360502.093643043,379191.588417391,401357.524283396,391398.053150918,375897.429946541,397102.72216351,409649.50895037,316682.790916619,293201.960598028,388868.052753809,401263.505114104,388606.116497488,392923.205975932,329773.417876777,393706.926549226,345283.680273438,336998.637877507,"","","3"
"4",171,171,171,612.077270507812,611.028625488281,612.817199707031,6,6,160185.436948888,134207.630622896,223951.983248875,306018.452856683,518022.645742977,303801.475371382,143839.016714436,234.804805348513,170939.731596422,161361.685077868,209002.347728528,383694.218890488,583323.118843043,356680.566814222,481782.109726027,462167.604190343,128442.335114925,177228.639242106,291427.334278564,541668.893517745,508467.799631579,457521.490961537,130275.473142925,181824.80929968,202482.911573507,377630.193979003,494615.537431014,233892.73870658,446010.1495446,463253.977288988,192766.589731402,248817.836617458,207904.56537385,333573.947817954,482.523122395055,448.851661719712,309661.168989895,453895.677985906,153671.845316145,208605.22428759,117067.957092692,335756.111968049,548772.807577988,198733.488417995,295574.91215953,455188.786110637,159909.452592007,252081.646700196,194081.689436733,430800.764786961,556707.089292701,264492.342994724,374396.379071126,484934.982608697,"","","3"
"5",173,173,173,615.723937988281,613.282287597656,618.363342285156,21,21,594756.874373998,572014.645466245,663193.595005805,689109.202931315,738516.466809952,559210.031945703,559950.424433367,322.643763100229,511049.209642077,506566.985708509,516590.249247788,549013.051358758,616131.636422331,495882.739958331,508249.892685187,483601.227735848,601347.983897557,674574.97869873,699402.801618181,788958.554952792,680346.808025737,720178.193027905,594823.440907021,671751.571299022,627140.895892147,740915.211536586,752321.22280059,634883.386953434,646815.801193372,641779.071274511,677155.514699346,696462.454709871,690619.274846486,718807.154808446,1061.08735832801,8987.69399755141,546015.535688444,625021.591530611,581945.211286149,656248.614770508,543875.148601185,632344.807610559,752680.131676058,573465.35094167,485337.227276787,590317.255493878,593021.868126923,643217.531939519,632910.544385815,799766.886644627,600235.390409303,662241.889630876,589417.076612903,671392.645751222,"","","1"
"6",189.100006103516,189.100006103516,189.100006103516,617.306518554688,613.727966308594,621.273010253906,32,32,1374811.37071474,1287894.73811068,1366051.83707317,1274322.25236124,1182178.69123077,922230.035019801,1110894.14371765,NA,895422.324722222,935246.199033579,901415.286608694,963590.615945949,995402.386783506,755944.169591228,253499.3999641,383924.24887444,1176109.55851466,1308475.19813224,1225229.71180508,1241928.03612859,475836.196231031,719556.599699249,1311349.18899083,1374468.77179339,1349290.56404583,1256108.55362555,1294365.88152,1085691.0740748,478422.553847551,637414.262756217,1298986.37386582,1362006.38700847,1330768.51305439,1325464.72590558,398.562199722102,337.400527384271,839132.382563447,434247.262507484,1074856.63058861,1247829.89963875,1137523.14453192,1136108.94703982,1326861.51047938,1292750.48788347,764636.908326668,389125.064504714,1197632.1461135,1345069.3257115,1317804.86696152,1320176.63445497,951191.975999999,1078749.33694581,632905.142651935,506759.133366102,"[1][M]+","","1"
"7",190.100006103516,190.100006103516,190.100006103516,617.472686767578,614.377807617188,619.464294433594,22,22,964069.794410482,918794.52911046,981605.015652173,919275.157169044,851237.876652719,651732.672757202,793826.510868056,NA,634546.076130652,635500.778231543,605144.523034484,659114.999765958,717732.643177379,549752.308860304,189595.411409623,277096.285851597,828238.064,919558.992411711,843329.713464792,891948.75086247,345579.151228841,517801.894954247,918762.589620568,993626.748666666,967408.348193831,890580.350684931,892898.501412166,789420.69940769,351690.180560278,471788.562274447,916834.220935363,996329.438722808,967019.509889937,948948.746891404,85.4343744692595,NA,619675.31526966,332057.05570122,734921.607643834,880833.323104028,799113.769406359,780979.455079524,945259.746001945,922055.798241673,544790.415006535,297595.788524852,849229.854086795,953411.020725235,919104.976783688,943351.384001304,674961.906736628,763377.220740742,459073.532100506,374209.94074978,"[1][M+1]+","","1"
"8",204.100006103516,204.100006103516,204.100006103516,615.0361328125,614.816650390625,617.597473144531,7,7,614706.955243416,609504.233568145,625867.981931807,630606.428078391,641300.762455131,497098.815011426,585920.788348259,6113.11827275524,450675.038843602,451042.403225806,435645.388725387,471090.703105022,554741.001798063,422449.085651042,275889.59154287,357634.531220556,596390.431176497,619582.123410064,612073.6467652,608288.157224071,382459.725410306,534847.59349823,610271.946240358,617220.639584496,627872.656649122,620102.052564103,611678.281777518,565890.753662755,444351.824954224,518171.513165863,619466.215652154,622411.041604571,619460.229918201,630007.691089592,1127.77266710069,384.932622015139,483188.750958067,451366.674157652,568743.937584459,618766.813017855,589799.191961229,564443.886564754,615527.718917236,575516.132470351,447342.028410406,396493.131444974,609656.57141644,624477.956291343,610988.811353791,615522.010645142,500748.478951236,574414.821911164,466772.056325585,462803.219765464,"","","1"
